패키지,시나리오,역할,각본_이탈인원,person_id,관측,카메라수,트랙렛수,지속s,이탈_트랙렛배정_m,이탈_사람배정_m,EPFI_트랙렛(d=4.0),EPFI_사람(d=4.0),배정경로
1·3층,scenario_06,양성,1,p21,384,7,9,56.9,2.331,2.455,41.7,38.6,auto-evac-1
1·3층,scenario_06,양성,1,p37,191,1,2,38.4,2.309,2.302,42.3,42.5,auto-evac-2
1·3층,scenario_06,양성,1,p7,369,6,6,26.7,2.233,2.201,44.2,45.0,auto-evac-1
1·3층,scenario_06,양성,1,p2,378,6,7,22.5,2.165,2.091,45.9,47.7,auto-evac-1
1·3층,scenario_06,양성,1,p15,187,5,6,20.7,1.617,1.517,59.6,62.1,auto-evac-1
1·3층,scenario_06,양성,1,p23,217,4,5,10.7,0.909,0.919,77.3,77.0,auto-evac-1
1·3층,scenario_06,양성,1,p24,171,3,4,9.8,1.100,0.883,72.5,77.9,auto-evac-1
1·3층,scenario_06,양성,1,p16,201,2,4,23.7,0.862,0.851,78.5,78.7,auto-evac-3
1·3층,scenario_06,양성,1,p12,490,5,5,16.0,0.723,0.722,81.9,81.9,auto-evac-1
3층1차,scenario_01,기준,2,p10,152,4,5,35.8,2.057,4.383,48.6,0.0,auto-evac-0
3층1차,scenario_01,기준,2,p9,193,7,12,36.0,2.734,4.168,31.6,0.0,auto-evac-0
3층1차,scenario_01,기준,2,p1,156,6,8,29.0,2.316,4.084,42.1,0.0,auto-evac-0
3층1차,scenario_01,기준,2,p8,198,7,10,34.6,2.020,3.969,49.5,0.8,auto-evac-0
3층1차,scenario_01,기준,2,p6,163,7,9,28.6,1.629,3.845,59.3,3.9,auto-evac-0
3층1차,scenario_01,기준,2,p4,299,7,10,37.6,2.646,2.661,33.8,33.5,auto-evac-0
3층1차,scenario_01,기준,2,p2,194,7,9,34.4,2.537,2.471,36.6,38.2,auto-evac-0
3층1차,scenario_01,기준,2,p3,287,7,9,39.2,2.330,2.293,41.8,42.7,auto-evac-0
3층1차,scenario_01,기준,2,p5,118,5,6,37.6,0.488,1.783,87.8,55.4,auto-evac-0
3층1차,scenario_01,기준,2,p12,109,4,7,34.0,1.466,1.358,63.4,66.1,auto-evac-4
3층1차,scenario_02,음성,0,p19,103,5,6,32.0,1.560,11.571,61.0,0.0,auto-evac-2
3층1차,scenario_02,음성,0,p11,125,4,6,24.0,6.119,11.077,0.0,0.0,auto-evac-4
3층1차,scenario_02,음성,0,p24,148,3,5,31.4,3.697,10.273,7.6,0.0,auto-evac-4
3층1차,scenario_02,음성,0,p8,343,8,11,66.0,3.204,6.906,19.9,0.0,auto-evac-0
3층1차,scenario_02,음성,0,p5,140,5,7,48.4,2.260,6.906,43.5,0.0,auto-evac-0
3층1차,scenario_02,음성,0,p3,241,7,9,53.0,3.564,6.690,10.9,0.0,auto-evac-0
3층1차,scenario_02,음성,0,p1,155,6,9,60.2,1.871,6.298,53.2,0.0,auto-evac-0
3층1차,scenario_02,음성,0,p10,125,3,4,61.0,4.177,6.083,0.0,0.0,auto-evac-0
3층1차,scenario_02,음성,0,p9,268,9,13,62.4,2.733,5.951,31.7,0.0,auto-evac-0
3층1차,scenario_02,음성,0,p7,181,7,10,57.6,2.808,5.916,29.8,0.0,auto-evac-0
3층1차,scenario_02,음성,0,p2,372,7,8,63.2,3.202,5.240,20.0,0.0,auto-evac-0
3층1차,scenario_02,음성,0,p6,298,8,11,59.0,2.989,5.211,25.3,0.0,auto-evac-0
3층1차,scenario_03,음성,0,p4,279,8,9,69.2,2.915,10.118,27.1,0.0,auto-evac-0
3층1차,scenario_03,음성,0,p20,103,4,4,35.0,4.645,9.867,0.0,0.0,auto-evac-4
3층1차,scenario_03,음성,0,p17,146,5,7,37.2,2.954,9.480,26.2,0.0,auto-evac-4
3층1차,scenario_03,음성,0,p19,143,3,3,29.0,4.859,9.288,0.0,0.0,auto-evac-4
3층1차,scenario_03,음성,0,p15,128,3,4,35.4,3.529,8.160,11.8,0.0,auto-evac-4
3층1차,scenario_03,음성,0,p8,361,9,10,50.4,2.045,7.538,48.9,0.0,auto-evac-0
3층1차,scenario_03,음성,0,p21,117,3,3,44.2,2.834,6.760,29.1,0.0,auto-evac-0
3층1차,scenario_03,음성,0,p3,116,4,5,47.8,2.878,6.720,28.0,0.0,auto-evac-0
3층1차,scenario_03,음성,0,p10,285,9,10,69.2,1.683,6.507,57.9,0.0,auto-evac-0
3층1차,scenario_03,음성,0,p5,286,8,10,58.4,3.541,5.483,11.5,0.0,auto-evac-0
3층1차,scenario_03,음성,0,p9,343,7,10,36.2,1.573,3.864,60.7,3.4,auto-evac-0
3층1차,scenario_03,음성,0,p6,142,4,4,38.8,0.619,2.349,84.5,41.3,auto-evac-0
3층1차,scenario_03,음성,0,p7,248,4,4,39.8,1.405,1.549,64.9,61.3,auto-evac-0
3층1차,scenario_04,양성,2,p22,129,3,3,13.0,6.683,6.874,0.0,0.0,auto-evac-3
3층1차,scenario_04,양성,2,p6,184,5,7,24.0,3.118,2.908,22.1,27.3,auto-evac-1
3층1차,scenario_04,양성,2,p3,204,5,6,22.4,2.667,2.364,33.3,40.9,auto-evac-1
3층1차,scenario_04,양성,2,p14,199,4,5,29.4,2.638,2.185,34.0,45.4,auto-evac-1
3층1차,scenario_04,양성,2,p1,201,5,7,27.0,2.296,2.125,42.6,46.9,auto-evac-1
3층1차,scenario_04,양성,2,p9,300,5,5,32.0,2.077,1.852,48.1,53.7,auto-evac-1
3층1차,scenario_04,양성,2,p4,226,3,6,33.6,2.087,1.654,47.8,58.6,auto-evac-1
3층1차,scenario_04,양성,2,p17,191,5,5,24.2,1.768,1.626,55.8,59.4,auto-evac-1
3층1차,scenario_04,양성,2,p18,171,4,4,20.4,1.585,1.446,60.4,63.8,auto-evac-1
3층1차,scenario_04,양성,2,p2,164,5,6,20.4,0.769,0.813,80.8,79.7,auto-evac-1
3층1차,scenario_04,양성,2,p16,143,4,4,13.6,0.848,0.746,78.8,81.3,auto-evac-1
3층1차,scenario_05,양성,2,p18,126,4,5,15.1,4.487,10.318,0.0,0.0,auto-evac-1
3층1차,scenario_05,양성,2,p17,177,3,4,26.0,3.238,9.617,19.1,0.0,auto-evac-1
3층1차,scenario_05,양성,2,p14,265,4,7,34.6,3.030,8.250,24.3,0.0,auto-evac-1
3층1차,scenario_05,양성,2,p6,232,4,5,39.8,3.112,7.889,22.2,0.0,auto-evac-1
3층1차,scenario_05,양성,2,p7,174,4,5,26.9,4.313,7.336,0.0,0.0,auto-evac-1
3층1차,scenario_05,양성,2,p12,105,3,4,30.6,4.271,7.176,0.0,0.0,auto-evac-1
3층1차,scenario_05,양성,2,p15,116,3,4,19.4,2.736,7.173,31.6,0.0,auto-evac-1
3층1차,scenario_05,양성,2,p9,121,4,5,25.2,2.448,5.098,38.8,0.0,auto-evac-1
3층1차,scenario_05,양성,2,p5,147,2,2,18.3,4.655,4.680,0.0,0.0,auto-evac-1
3층1차,scenario_05,양성,2,p1,113,2,3,16.4,4.363,3.659,0.0,8.5,auto-evac-1
3층1차,scenario_06,양성,1,p19,193,6,7,36.0,0.812,11.282,79.7,0.0,auto-evac-1
3층1차,scenario_06,양성,1,p16,260,7,7,45.2,4.134,9.703,0.0,0.0,auto-evac-1
3층1차,scenario_06,양성,1,p25,157,6,6,43.0,3.530,9.422,11.7,0.0,auto-evac-1
3층1차,scenario_06,양성,1,p26,160,6,7,50.6,1.528,8.239,61.8,0.0,auto-evac-3
3층1차,scenario_06,양성,1,p6,304,7,8,43.8,3.928,8.219,1.8,0.0,auto-evac-1
3층1차,scenario_06,양성,1,p22,255,5,6,51.0,1.329,7.566,66.8,0.0,auto-evac-1
3층1차,scenario_06,양성,1,p4,216,6,6,50.2,2.678,7.005,33.1,0.0,auto-evac-1
3층1차,scenario_06,양성,1,p1,405,7,9,37.2,4.207,6.685,0.0,0.0,auto-evac-1
3층1차,scenario_06,양성,1,p13,167,5,8,36.0,1.612,5.295,59.7,0.0,auto-evac-1
3층1차,scenario_06,양성,1,p5,141,4,5,29.4,3.587,3.045,10.3,23.9,auto-evac-1
3층1차,scenario_06,양성,1,p2,460,5,7,57.0,1.874,1.909,53.2,52.3,auto-evac-1
3층1차,scenario_06,양성,1,p21,157,5,8,16.2,1.462,0.923,63.4,76.9,auto-evac-1
